[2025-10-29 11:32:15 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1914 has been purged, triggered by action: save_post 
[2025-10-29 11:32:15 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-10-29 11:33:21 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-10-29 11:36:15 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-11-10 09:22:29 : INFO] - Cache for URL: https://www.medianet.srl/?p=1915 has been purged, triggered by action: save_post 
[2025-11-10 09:22:29 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1915 has been purged, triggered by action: save_post 
[2025-11-10 09:22:29 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-11-26 10:41:22 : INFO] - Cache for URL: https://www.medianet.srl/?p=1916 has been purged, triggered by action: save_post 
[2025-11-26 10:41:22 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1916 has been purged, triggered by action: save_post 
[2025-11-26 10:41:22 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-11-26 10:45:03 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-11-26 10:45:32 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1917 has been purged, triggered by action: save_post 
[2025-11-26 10:46:09 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 10:48:18 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 10:52:32 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 11:04:37 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 11:07:41 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 11:09:36 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 11:10:24 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 11:10:48 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 11:15:37 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 11:16:16 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 11:16:32 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 11:18:15 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
[2025-11-26 11:18:53 : INFO] - Cache for URL: https://www.medianet.srl/informazioni-consumatore/ has been purged, triggered by action: save_post 
